OBJECTID,CT2010,TOTHHS,CV_HHS,PCT_BA,CV_BA,PCT_FB,CV_FB,PCTENGL_LT,CV_ENGL_LT,PCTSPANENG,CV_SPAN_EN,PCTUMPLD,CV_UMPLD,MEDHHINC,CV_MEDINC,PCTSNAP,CV_SNAP,PCTNOHLTH,CV_NOHLTH,PCTFAMRELC,CV_POPFAMC,POV_POP,CV_POVPOP,PERLT18_PO,CV_PERLT18,POV_65UP,CV_POV65UP,REPORT_1,REPORT_2,REPORT_3,REPORT_4,XLS_1,XLS_2,XLS_3,XLS_4
397,24033802406,838,5.803367,17.6,22.105554,3,40.526849,1.6,49.392097,0.7,78.158923,14.5,24.316109,55481,6.619096,13.7,31.504448,12,24.316109,16.7,40.769525,17.5,31.263569,27.5,39.347886,6.1,98.659624,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24033802406.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24033802406.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24033802406.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24033802406.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24033802406.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24033802406.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24033802406.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24033802406.xlsx
398,24033802301,1270,6.461958,16.7,16.380613,5.8,29.347029,0.4,136.778116,0.4,136.778116,13.5,20.263425,79817,5.321443,14.7,26.052974,10.6,18.351781,1.8,101.317123,4.1,42.997998,4.4,96.711799,3.4,59.002324,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24033802301.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24033802301.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24033802301.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24033802301.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24033802301.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24033802301.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24033802301.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24033802301.xlsx
399,24033800413,1328,4.577581,40.3,13.575992,31.4,13.164773,5.3,38.997534,0.4,212.765957,7,31.263569,87682,5.788394,4.9,48.384095,8.1,30.770385,17.3,40.761108,13.7,40.378941,26,40.682722,0,-999,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24033800413.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24033800413.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24033800413.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24033800413.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24033800413.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24033800413.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24033800413.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24033800413.xlsx
400,24033800412,1150,4.28175,24.5,16.624279,26.1,19.564686,6.6,35.921525,3.2,49.392097,10.6,44.158972,61321,17.119539,2.2,85.659022,16.5,29.105646,4.1,72.65179,11.4,44.792833,6.7,75.307354,4,98.784195,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24033800412.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24033800412.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24033800412.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24033800412.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24033800412.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24033800412.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24033800412.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24033800412.xlsx
401,24033800514,1525,4.02611,61.4,8.316585,16.1,16.99107,5.9,29.879965,0.6,70.921986,2.9,44.020543,173458,4.176094,3.7,47.646431,6.3,31.842524,0,-999,2,66.869301,0,-999,0,-999,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24033800514.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24033800514.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24033800514.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24033800514.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24033800514.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24033800514.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24033800514.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24033800514.xlsx
402,24005491900,808,4.363658,19.8,16.272144,13.1,35.26764,3.9,38.968124,0.9,67.544748,11,30.947776,64306,10.119738,6.1,42.85216,9.2,24.448262,7.8,71.701348,4.6,42.288886,8.9,67.620641,3.7,64.076234,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24005491900.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24005491900.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24005491900.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24005491900.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24005491900.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24005491900.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24005491900.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24005491900.xlsx
403,24005451600,960,3.736069,16.1,26.052974,3.1,52.946367,0.2,121.580547,0.2,121.580547,3.7,49.289411,62315,11.735649,6.9,39.645831,6.1,27.903732,7.5,94.02229,5.3,37.850548,5.4,95.688394,2.9,64.982706,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24005451600.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24005451600.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24005451600.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24005451600.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24005451600.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24005451600.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24005451600.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24005451600.xlsx
404,24005404201,2350,2.431611,43.4,7.983976,28.6,14.878738,15.9,23.322055,7.9,38.474857,5.9,35.031683,68656,8.839276,10,32.218845,17.8,23.564769,14.2,41.09765,11.5,30.659442,16.4,41.144636,5.6,56.448111,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24005404201.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24005404201.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24005404201.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24005404201.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24005404201.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24005404201.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24005404201.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24005404201.xlsx
405,24005408704,1998,2.586173,68.8,4.064466,16,17.097264,7.3,31.644252,0.1,121.580547,2.2,49.737497,132424,10.55328,3.5,48.632219,1.1,44.211108,0,-999,1.3,56.114099,0,-999,3.8,92.785154,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24005408704.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24005408704.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24005408704.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24005408704.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24005408704.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24005408704.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24005408704.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24005408704.xlsx
406,24005408602,822,3.697705,48.5,8.773854,7.5,22.695035,3.8,43.193089,1.5,60.790274,9.1,33.401249,95833,6.19048,0,-999,3,42.553191,0,-999,2.3,39.645831,0,-999,0,-999,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24005408602.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24005408602.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24005408602.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24005408602.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24005408602.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24005408602.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24005408602.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24005408602.xlsx
407,24005490703,1274,3.817286,65.6,7.413448,9.6,20.896657,1.8,43.904086,0,-999,3.9,40.526849,82875,10.506907,1.6,56.990881,7,38.211029,2.5,92.401216,6.4,29.445289,2.3,97.793049,2.3,95.149993,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24005490703.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24005490703.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24005490703.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24005490703.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24005490703.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24005490703.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24005490703.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24005490703.xlsx
408,24005402202,559,6.633643,44,12.019895,12.4,32.846357,1.2,70.921986,0,-999,5.4,54.035799,122455,9.199831,0,-999,5.6,52.105949,5.3,87.170958,2.6,84.171148,6,89.159068,0.7,182.370821,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24005402202.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24005402202.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24005402202.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24005402202.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24005402202.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24005402202.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24005402202.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24005402202.xlsx
409,24005402305,830,3.442341,28.7,14.826896,22.8,22.663041,8,50.151976,0.4,91.18541,13.8,21.584952,45052,5.642922,14.1,28.455022,13.6,36.205972,19.6,42.491161,17.9,27.508448,15.1,59.179935,4.4,88.422216,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24005402305.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24005402305.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24005402305.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24005402305.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24005402305.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24005402305.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24005402305.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24005402305.xlsx
410,24005402302,1750,3.647416,31.4,11.035177,15.2,20.396737,4.6,38.324303,1.2,50.658561,8.5,24.316109,69149,9.337134,11.1,31.764287,11.3,15.601044,3.6,57.413036,4.1,32.619171,2.7,58.538782,6.8,58.10835,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24005402302.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24005402302.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24005402302.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24005402302.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24005402302.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24005402302.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24005402302.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24005402302.xlsx
411,24033802404,1644,4.215384,14.2,18.408322,5.7,39.460353,0.6,70.921986,0.6,70.921986,11.8,24.728247,50878,13.977055,25.9,14.3174,10,21.276596,22.4,32.294833,14.8,24.644705,23,34.35972,7.9,66.176753,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24033802404.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24033802404.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24033802404.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24033802404.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24033802404.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24033802404.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24033802404.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24033802404.xlsx
412,24033801906,662,6.427975,12.9,24.975849,11.6,47.688921,8.5,66.511711,8.3,68.114403,10.9,33.462536,65000,5.470189,6.5,43.020809,22.9,27.60781,11.6,53.97757,10.3,31.870629,17.8,46.78802,12.5,47.659574,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24033801906.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24033801906.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24033801906.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24033801906.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24033801906.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24033801906.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24033801906.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24033801906.xlsx
413,24033802103,1102,4.854396,19.8,15.658101,6.9,38.764812,2.2,66.316662,2.2,66.316662,1.4,78.158923,82943,11.454748,12.3,29.653792,7.2,29.550827,6,67.882472,6.1,46.838407,3.2,70.288754,2,112.462006,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24033802103.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24033802103.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24033802103.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24033802103.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24033802103.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24033802103.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24033802103.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24033802103.xlsx
414,24033802104,819,6.754475,14.5,24.735353,5.5,45.316386,1.4,60.790274,0,-999,28.2,17.029899,53237,8.953482,7.9,41.552845,11.8,26.273762,15.3,64.763494,9.4,43.329238,14.6,69.117708,2.6,88.847323,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24033802104.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24033802104.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24033802104.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24033802104.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24033802104.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24033802104.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24033802104.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24033802104.xlsx
415,24033801802,1461,6.033258,11,24.316109,3,42.553191,0.4,91.18541,0,-999,12,36.474164,49806,9.755786,7,39.079462,15.8,25.008657,4.4,74.606245,6.9,34.35972,5.8,63.934598,11.9,38.313198,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24033801802.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24033801802.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24033801802.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24033801802.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24033801802.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24033801802.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24033801802.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24033801802.xlsx
416,24033801804,773,2.673828,18.9,16.082083,5.1,45.294714,0.5,85.106383,0.3,121.580547,19.2,24.062817,80398,12.493317,7.5,34.85309,9.5,24.956007,20.8,61.374795,13.3,50.27767,44.2,46.349145,0,-999,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24033801804.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24033801804.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24033801804.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24033801804.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24033801804.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24033801804.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24033801804.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24033801804.xlsx
417,24005491100,1392,3.624707,60.1,6.27121,9.8,29.154519,3.9,48.320474,2.2,69.079856,9.3,27.453672,94000,6.725732,9.8,30.395137,8.6,19.085318,4.5,58.088484,6,43.566363,6.3,67.544748,2.5,97.264438,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24005491100.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24005491100.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24005491100.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24005491100.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24005491100.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24005491100.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24005491100.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24005491100.xlsx
418,24005411302,1161,4.660064,42.1,10.974016,19.2,13.931104,3.9,57.672824,0,-999,4.4,40.066317,92188,14.875114,6.9,37.002775,11.8,33.486168,11.1,57.504313,11.4,35.194369,9,54.711246,3.3,77.369439,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24005411302.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24005411302.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24005411302.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24005411302.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24005411302.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24005411302.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24005411302.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24005411302.xlsx
419,24005450300,1313,2.963121,11.9,21.455391,6.2,53.926856,4.4,44.211108,0.8,91.18541,4.6,31.716664,60363,10.006331,6.8,35.758984,9.7,25.694858,7.1,76.201892,6.9,55.504163,19.9,72.703945,4.5,43.228639,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24005450300.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24005450300.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24005450300.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24005450300.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24005450300.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24005450300.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24005450300.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24005450300.xlsx
420,24005451100,705,5.17364,20.7,29.954628,14.9,53.854471,0.5,85.106383,0,-999,9,36.474164,78860,8.584333,18.7,35.108821,14.5,35.216434,20.8,53.48375,16.6,62.621306,14.5,57.855571,5.7,87.452674,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24005451100.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24005451100.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24005451100.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24005451100.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24005451100.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24005451100.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24005451100.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24005451100.xlsx
421,24005408200,740,2.628769,66.8,6.916259,9,59.439379,1.1,82.895828,0,-999,2.8,52.105949,151250,8.101485,1.4,78.158923,5.9,44.304776,0,-999,2,63.829787,0,-999,0,-999,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24005408200.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24005408200.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24005408200.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24005408200.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24005408200.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24005408200.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24005408200.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24005408200.xlsx
422,24005406000,1895,2.983375,41.2,6.934813,2.6,39.747487,1.6,56.990881,0,-999,4.5,32.421479,109375,5.366774,1.6,68.389058,4.4,31.776734,0,-999,1.8,37.149612,0,-999,6.8,54.532451,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_demo_2013/24005406000.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_econ_2013/24005406000.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_housing_2013/24005406000.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/pdfs/acs_socio_2013/24005406000.pdf,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_demo_2013/24005406000.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_econ_2013/24005406000.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_housing_2013/24005406000.xlsx,http://mdpgis.mdp.state.md.us/acs_with_cv/xlsx/acs_socio_2013/24005406000.xlsx
